name,danceability,loudness,speechiness,acousticness,liveness
Lift Me Up (feat. Carla Monroe),0.579,-4.686,0.0659,0.0426,0.317
Light Year,0.301,-16.072,0.0351,0.99,0.106
Light Years,0.544,-11.666,0.0307,0.95,0.0978
Lights Go Down,0.741,-5.356,0.039,0.00254,0.301
Like The First Time - House Mix,0.775,-9.58,0.0383,0.00481,0.661
Like The Way I Do,0.591,-4.84,0.0557,0.0213,0.122
Like We Do,0.614,-5.081,0.0465,0.0125,0.366
Limitless,0.238,-20.242,0.0351,0.404,0.107
Linger,0.54,-7.006,0.0232,0.0122,0.226
Listen to the Music,0.645,-13.18,0.0335,0.221,0.0721
Listening,0.475,-5.064,0.0941,0.000121,0.034
Litost,0.383,-18.306,0.0427,0.988,0.102
Little Lion Man,0.515,-8.018,0.0275,0.0244,0.0895
Little Talks,0.457,-5.177,0.032,0.0206,0.146
Little Things,0.367,-5.453,0.0682,0.000229,0.184
Living,0.46,-9.375,0.0327,0.14,0.112
"Lola - Live at Providence Civic Center, Providence, RI - September 1979",0.488,-12.658,0.0894,0.153,0.825
London Thunder,0.489,-9.745,0.0259,0.641,0.0838
Lonely Boy,0.588,-13.288,0.0296,0.0386,0.107
Long Way Down,0.367,-13.778,0.0335,0.972,0.0871
Lorelei,0.387,-11.187,0.0395,0.000158,0.166
Los Feliz,0.575,-11.642,0.0279,0.197,0.0753
Losing You,0.383,-8.693,0.0382,0.63,0.0946
Lost,0.389,-22.464,0.0358,0.972,0.113
Lost Moon,0.448,-9.291,0.0327,0.328,0.111
Love Is A Losing Game,0.48,-5.874,0.027,0.317,0.184
Lovely Day,0.693,-12.583,0.0345,0.194,0.0806
Lunar Eclipse,0.632,-10.513,0.0307,0.224,0.0902
"Ma mère l'oye, M.60 - For Piano Duet, M.60: 1. Pavane de la Belle au bois dormant",0.517,-42.018,0.0615,0.995,0.0719
Machinehead,0.15,-7.27,0.0975,4.24E-05,0.0957
Mad About You,0.465,-4.352,0.0379,0.00109,0.0865
Make Believe,0.587,-5.838,0.0427,0.03,0.195
Malibu,0.435,-21.451,0.0367,0.977,0.0728
Marbles,0.49,-9.601,0.0295,0.0934,0.266
Me and Julio Down by the Schoolyard,0.626,-10.593,0.13,0.237,0.104
Melancholé,0.369,-25.76,0.0399,0.996,0.101
Mercy - Live,0.211,-20.882,0.0398,0.916,0.102
Message In A Bottle - Remastered 2003,0.577,-7.04,0.039,0.0338,0.221
Midnight Sun,0.614,-3.61,0.199,0.0574,0.086
Mil Sonidos,0.221,-17.59,0.0362,0.958,0.102
Mind-wanders,0.312,-25.607,0.0437,0.959,0.111
Mindfulness,0.692,-34.388,0.0553,0.992,0.0452
Minus,0.244,-12.966,0.0296,0.501,0.105
Miss You - Remastered,0.795,-4.746,0.0392,0.443,0.344
Misty Mornings,0.522,-24.89,0.0424,0.981,0.361
Momentum,0.636,-17.313,0.0309,0.891,0.106
Montana,0.435,-17.456,0.0435,0.913,0.104
Monumental,0.491,-6.805,0.0521,0.916,0.177
Morning Shimmer,0.449,-16.409,0.0361,0.58,0.114
Moulain (Revisited 432hz),0.424,-27.586,0.0287,0.972,0.103
Movies,0.0903,-8.929,0.0337,0.646,0.106
Mr. Blue Sky,0.388,-10.054,0.0328,0.652,0.248
Mr. Jones,0.578,-6.542,0.0363,0.183,0.285
Mudshovel,0.328,-5.085,0.0362,0.000224,0.0818
"Murder Song (5, 4, 3, 2, 1) - Acoustic",0.398,-13.683,0.0334,0.902,0.0873
My Favourite Game,0.594,-7.598,0.0327,0.000156,0.086
My Hero,0.364,-4.224,0.0659,6.01E-05,0.0603
My Own Worst Enemy,0.494,-2.757,0.0637,0.00129,0.398
My Sharona,0.586,-9.558,0.0363,0.0589,0.0318
My Way - Marcus Santoro Remix,0.563,-4.755,0.0596,0.0122,0.0641
Mykki,0.665,-7.301,0.0667,0.336,0.327
Nazareth,0.378,-31.001,0.0552,0.995,0.104
Need You - Ed. & Gustav Munk Remix,0.656,-7.693,0.0366,0.00352,0.345
Never Be Lonely (feat. Envy Monroe),0.587,-3.904,0.0654,0.207,0.64
Never Letting Go,0.534,-3.151,0.0338,0.0915,0.225
Never My Love,0.764,-16.201,0.0383,0.666,0.0967
Night,0.428,-32.837,0.0753,0.995,0.0913
Night Moves,0.705,-6.631,0.042,0.432,0.103
Night Surrender,0.211,-25.787,0.0396,0.993,0.0996
Night on Earth,0.268,-7.219,0.0321,0.0656,0.123
No More 54,0.541,-5.682,0.0529,0.000492,0.103
